step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy
261,139117,261,0.0023210160009895543,1.0,1.0
262,139654,262,0.00978325529320527,0.0,0.9972067039106145
263,140535,263,0.030548211752218845,0.0,0.9859594383775351
264,141128,264,0.005763638186436525,1.0,1.0
265,141601,265,0.002193230726831402,1.0,1.0
266,142082,266,0.0020761971192902067,1.0,1.0
267,142651,267,0.0059908292369223815,0.0,0.9973262032085561
268,143100,268,0.016787584650069215,0.0,0.992619926199262
269,143669,269,0.013816706571350137,0.0,0.9946091644204852
270,144190,270,0.01062139929752224,0.0,0.997134670487106
271,144671,271,0.002115184338998654,1.0,1.0
272,145152,272,0.002105954165334601,1.0,1.0
273,145625,273,0.0023730862165574312,1.0,1.0
274,146106,274,0.002369408483560814,1.0,1.0
275,146587,275,0.0027197751137439164,1.0,1.0
276,147068,276,0.0024602673899728937,1.0,1.0
277,147549,277,0.0026530218200761717,1.0,1.0
278,148822,278,0.0531881624265802,0.0,0.9806517311608961
279,149303,279,0.0021330244257693433,1.0,1.0
280,149784,280,0.0022984284481489944,1.0,1.0
281,150265,281,0.003916668152937712,0.0,0.9966666666666667
282,150834,282,0.0041518377865521925,1.0,1.0
283,151315,283,0.0019879257888464853,1.0,1.0
284,151796,284,0.009428930202644075,0.0,0.9966442953020134
285,152789,285,0.028605176328250836,0.0,0.9930167597765364
286,153270,286,0.0047729533408445105,0.0,0.9966555183946488
287,153743,287,0.003133409231346573,1.0,1.0
288,154216,288,0.0018418322814353135,1.0,1.0
289,154697,289,0.001829193992212158,1.0,1.0
290,155250,290,0.02206721989562223,0.0,0.9882697947214076
291,155979,291,0.04391530086977401,0.0,0.9832985386221295
292,156452,292,0.013620387227199507,0.0,0.9966329966329966
293,156933,293,0.0023645808199639416,1.0,1.0
294,157414,294,0.002148389584586688,1.0,1.0
295,157895,295,0.002155732871247343,1.0,1.0
296,158368,296,0.0019343973275512696,1.0,1.0
297,158897,297,0.005131537449972082,1.0,1.0
298,159370,298,0.0028398071937653885,1.0,1.0
299,159851,299,0.0023650228339055323,1.0,1.0
300,160324,300,0.001906083136274423,1.0,1.0
301,160877,301,0.021285810963117595,0.0,0.9943181818181818
302,161446,302,0.005089793421948364,0.0,0.9973045822102425
303,161927,303,0.0020111198684000264,1.0,1.0
304,162608,304,0.008433415322968275,0.0,0.9977728285077951
305,163081,305,0.0017334332493729714,1.0,1.0
306,163698,306,0.0064300839073298515,1.0,1.0
307,164179,307,0.0019470056833196922,1.0,1.0
308,164660,308,0.0017388019975623338,1.0,1.0
309,165341,309,0.011801403154710859,0.0,0.9977777777777778
310,165990,310,0.04929494706839841,0.0,0.9777777777777777
311,166511,311,0.005760976099461395,1.0,1.0
312,166992,312,0.0019071757409478492,1.0,1.0
313,167449,313,0.011226103424830085,0.0,0.9963503649635036
314,167930,314,0.0019245597900014626,1.0,1.0
315,168411,315,0.0022648903518118347,1.0,1.0
316,168884,316,0.0021053910956966774,1.0,1.0
317,169421,317,0.004144466003199895,1.0,1.0
318,169990,318,0.006171658204401154,1.0,1.0
319,170519,319,0.014034863418217055,0.0,0.9971751412429378
320,171000,320,0.0023407801206673517,1.0,1.0
321,171481,321,0.002463653465491205,1.0,1.0
322,172010,322,0.007917391035985492,0.0,0.9971590909090909
323,172483,323,0.0019344091519771464,1.0,1.0
324,172964,324,0.0031094369147078227,1.0,1.0
325,173557,325,0.0056064206128211835,1.0,1.0
326,174038,326,0.0017588833295553942,1.0,1.0
327,174519,327,0.0021465087136002775,1.0,1.0
328,174992,328,0.0020787291001522854,1.0,1.0
329,175473,329,0.0015906656451323245,1.0,1.0
330,175954,330,0.0019096542785986502,1.0,1.0
331,176403,331,0.01205470943314115,0.0,0.996309963099631
332,176884,332,0.0016202725836499496,1.0,1.0
333,177365,333,0.0017285371348185745,1.0,1.0
334,177846,334,0.001816831244156182,1.0,1.0
335,178319,335,0.0016267699350115772,1.0,1.0
336,178800,336,0.0016076541645527532,1.0,1.0
337,179257,337,0.008903095115165984,0.0,0.9963503649635036
338,179738,338,0.0021367084727382762,1.0,1.0
339,180219,339,0.0018828253892815762,1.0,1.0
340,181148,340,0.016831356388400595,0.0,0.9927325581395349
341,181797,341,0.02890540617940258,0.0,0.9932885906040269
342,182414,342,0.04559061088243165,0.0,0.9875621890547264
343,182895,343,0.0022951696458082794,1.0,1.0
344,183480,344,0.0046534979403967495,1.0,1.0
345,183961,345,0.0024120381252014547,1.0,1.0
346,184506,346,0.01327388620704354,0.0,0.9971751412429378
347,185091,347,0.004436067323102651,1.0,1.0
348,185572,348,0.001949761794877696,1.0,1.0
349,186053,349,0.001870738706425526,1.0,1.0
350,186942,350,0.035561967619745616,0.0,0.9875968992248062
351,187423,351,0.002215036308216141,1.0,1.0
352,187904,352,0.0024555174240620176,1.0,1.0
353,188377,353,0.0021466369700130494,1.0,1.0
354,188858,354,0.002039477929520757,1.0,1.0
355,189339,355,0.010138956871532021,0.0,0.9966555183946488
356,189820,356,0.0020006713445584576,1.0,1.0
357,190301,357,0.0018367331506607438,1.0,1.0
358,190774,358,0.0026500446347495414,1.0,1.0
359,191223,359,0.023378924255708384,0.0,0.9889705882352942
360,191704,360,0.002197193912380631,1.0,1.0
361,192273,361,0.013645497741983075,0.0,0.9973118279569892
362,192754,362,0.0019841533155366842,1.0,1.0
363,193299,363,0.04336680263841271,0.0,0.9809264305177112
364,193780,364,0.0020098025451191965,1.0,1.0
365,194325,365,0.010758855046143078,0.0,0.9971751412429378
366,194798,366,0.001695899674067913,1.0,1.0
367,195487,367,0.02331596521447228,0.0,0.9931662870159453
368,195968,368,0.0020401878850845596,1.0,1.0
369,196441,369,0.0022317926044606875,1.0,1.0
370,196914,370,0.0019651486542661242,1.0,1.0
371,197395,371,0.001766915112748317,1.0,1.0
372,198060,372,0.00894220724045143,0.0,0.9977678571428571
373,198541,373,0.0019017826618632975,1.0,1.0
374,199022,374,0.0018931668297314523,1.0,1.0
375,199503,375,0.0018769592169935562,1.0,1.0
376,200072,376,0.004793868734132251,1.0,1.0
377,200665,377,0.006456000466517268,0.0,0.9973190348525469
378,201146,378,0.0019286203072282244,1.0,1.0
379,201627,379,0.0018212364976328756,1.0,1.0
380,202196,380,0.0061701644938917865,0.0,0.9973118279569892
381,202733,381,0.006312951202984744,1.0,1.0
382,203214,382,0.0017031658375586444,1.0,1.0
383,204023,383,0.06737365556670628,0.0,0.975609756097561
384,204616,384,0.005726035541287089,0.0,0.9973262032085561
385,205241,385,0.018142278344529545,0.0,0.9925
386,205826,386,0.018497298373050558,0.0,0.9945945945945946
387,206411,387,0.012614890787695066,0.0,0.9972826086956522
388,206892,388,0.0016912601708195501,1.0,1.0
389,207397,389,0.012303403692870382,0.0,0.9969879518072289
390,207878,390,0.0016926731940035693,1.0,1.0
391,208423,391,0.010992902322152,0.0,0.997134670487106
392,208936,392,0.008294987646828915,0.0,0.9970149253731343
393,209417,393,0.0018582839151069618,1.0,1.0
394,209898,394,0.0018873681711007418,1.0,1.0
395,210379,395,0.0019566320058738602,1.0,1.0
396,210900,396,0.020640964572925555,0.0,0.9909638554216867
397,211405,397,0.016438102432241596,0.0,0.9939393939393939
398,211886,398,0.002134917089923518,1.0,1.0
399,212463,399,0.007859528625274767,0.0,0.9973333333333333
400,213440,400,0.017656411235689756,0.0,0.9931318681318682
401,214249,401,0.01856864955614453,0.0,0.9930313588850174
402,214754,402,0.010022027987948757,0.0,0.9939393939393939
403,215435,403,0.008462807512253062,0.0,0.9977777777777778
404,215972,404,0.004057494717865423,1.0,1.0
405,216445,405,0.0016376195360139779,1.0,1.0
406,216926,406,0.0016041254335485936,1.0,1.0
407,217399,407,0.0018013457614194698,1.0,1.0
408,217880,408,0.0016650692316295937,1.0,1.0
409,218353,409,0.0016198643423116774,1.0,1.0
410,218906,410,0.016440378209184647,0.0,0.9912023460410557
411,219387,411,0.0018071475543326757,1.0,1.0
412,219868,412,0.001625185594393018,1.0,1.0
413,220349,413,0.0017385371488972737,1.0,1.0
414,220918,414,0.006531370106619986,0.0,0.9973190348525469
415,221367,415,0.009816727437481146,0.0,0.9963235294117647
416,221840,416,0.0014981080833208972,1.0,1.0
417,222313,417,0.0017457801960756392,1.0,1.0
418,222794,418,0.0017342107177326688,1.0,1.0
419,223411,419,0.010571165317984278,0.0,0.9953161592505855
420,223884,420,0.0018385556518134862,1.0,1.0
421,224365,421,0.001816192933560231,1.0,1.0
422,224838,422,0.001683849284662667,1.0,1.0
423,225319,423,0.0015993808618708577,1.0,1.0
424,225800,424,0.0019098621375388436,1.0,1.0
425,226281,425,0.001741034182360638,1.0,1.0
426,226762,426,0.0018379024751724964,1.0,1.0
427,227347,427,0.00594315730280339,0.0,0.9973118279569892
428,227828,428,0.0016508598236608888,1.0,1.0
429,228285,429,0.007746579544776983,0.0,0.9963503649635036
430,228758,430,0.001676887746214225,1.0,1.0
431,229239,431,0.0018436769289587919,1.0,1.0
432,229720,432,0.0016900076771812357,1.0,1.0
433,230713,433,0.018936666929044162,0.0,0.994413407821229
434,231202,434,0.015121153567025019,0.0,0.9967845659163987
435,231771,435,0.003637861123277891,1.0,1.0
436,232316,436,0.004992696744142152,1.0,1.0
437,232797,437,0.0016894207934863223,1.0,1.0
438,233278,438,0.0016610124426302878,1.0,1.0
439,233759,439,0.0016058088453032055,1.0,1.0
440,234352,440,0.004155292477343304,1.0,1.0
441,234833,441,0.0014759018698854247,1.0,1.0
442,235314,442,0.0017180951465201742,1.0,1.0
443,236203,443,0.02410576098669561,0.0,0.9922480620155039
444,236684,444,0.0017222443656121425,1.0,1.0
445,237205,445,0.006402614163587162,0.0,0.997134670487106
446,237686,446,0.0015887534938376147,1.0,1.0
447,238159,447,0.0015955842364870471,1.0,1.0
448,238640,448,0.0017368903017461192,1.0,1.0
449,239329,449,0.018915330961272982,0.0,0.9954441913439636
450,239842,450,0.01973399268314272,0.0,0.9880239520958084
451,240315,451,0.0014916542655364655,1.0,1.0
452,240796,452,0.001609667344933186,1.0,1.0
453,241277,453,0.0016661134719318511,1.0,1.0
454,241750,454,0.0015092576522062323,1.0,1.0
455,242223,455,0.0016815855086786643,1.0,1.0
456,242704,456,0.0015402657968307237,1.0,1.0
457,243289,457,0.004287274368720497,1.0,1.0
458,243770,458,0.0016284961872535355,1.0,1.0
459,244251,459,0.001668407937896782,1.0,1.0
460,244732,460,0.0015881593327700093,1.0,1.0
461,245181,461,0.012951068927021131,0.0,0.996309963099631
462,245662,462,0.0016187753701671283,1.0,1.0
463,246143,463,0.0017228029019151275,1.0,1.0
464,246760,464,0.023105040979462234,0.0,0.9900990099009901
465,247241,465,0.0015675823664097388,1.0,1.0
466,247770,466,0.004795376488402358,1.0,1.0
467,248699,467,0.009305242871363213,0.0,0.9956395348837209
468,249244,468,0.003396009042028288,1.0,1.0
469,249717,469,0.0015851565650940056,1.0,1.0
470,250198,470,0.0015259545165065697,1.0,1.0
471,250783,471,0.007248425529906874,0.0,0.9972972972972973
472,251264,472,0.0013980256860072395,1.0,1.0
473,251745,473,0.0015829005664815203,1.0,1.0
474,252226,474,0.0015047140374735766,1.0,1.0
475,252707,475,0.0014146690261680071,1.0,1.0
476,253252,476,0.012329269788152637,0.0,0.9945504087193461
477,253733,477,0.0015005209864174059,1.0,1.0
478,254214,478,0.001406046684719532,1.0,1.0
479,254687,479,0.001292436037914269,1.0,1.0
480,255168,480,0.0016149652766221571,1.0,1.0
481,255649,481,0.0015428698448063318,1.0,1.0
482,256122,482,0.0013616986906500128,1.0,1.0
483,256603,483,0.001486280566702273,1.0,1.0
484,257084,484,0.0015207536230810407,1.0,1.0
485,257565,485,0.0013536576129708836,1.0,1.0
486,258086,486,0.009653200237899747,0.0,0.9939759036144579
487,258559,487,0.0014883715855512191,1.0,1.0
488,259040,488,0.0015392902857946926,1.0,1.0
489,259633,489,0.005222343272841167,0.0,0.9973190348525469
490,260114,490,0.0013966430611252905,1.0,1.0
491,260595,491,0.001543630241243216,1.0,1.0
492,261076,492,0.0015285200790985593,1.0,1.0
493,261645,493,0.004227098356686378,1.0,1.0
494,262126,494,0.0014086303342235637,1.0,1.0
495,262711,495,0.0038252867434829738,1.0,1.0
496,263192,496,0.001392045810042486,1.0,1.0
